Brand,Model,Processor,Generation,Operating System,RAM,Storage,Size,Warranty,Color,Star Rating,No. of Ratings,No. of Reviews,Price
MSI,MSI Thin,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,1309,124,49990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Metallic Black,4.5,774,147,75990
Acer,Acer Aspire,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.4,1433,164,67990
Acer,Acer Predator Neo Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Silver,4.4,1972,280,104990
MSI,MSI Modern,AMD Ryzen 3,10th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,1516,166,32990
MSI,MSI Crosshair,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Black,4.1,1359,345,140990
MSI,MSI Thin,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,827,189,49990
HP,HP Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.2,931,245,53990
Acer,Acer Aspire,AMD Ryzen 7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,2,Metallic Black,4.2,806,236,29990
Acer,Acer One Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Silver,4.2,1847,137,28990
Lenovo,Lenovo IdeaPad Slim,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.1,1262,186,49690
ASUS,ASUS Vivobook,Intel Core i7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,895,248,36990
Acer,Acer Swift Go,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Blue,4.3,1045,348,59990
Apple,Apple MacBook AIR Apple M,Intel Core i3,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Metallic Black,4.7,1301,164,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.5,1893,248,61990
